frontend,hash,block_time,user_addr,solver,trade_usd
deBridge Frontend,0xae11f9cf2931a71dd8122bbcd23a87fd9d974b1840f39c3ecc55d67ddb13b5ea,2025-09-30 20:17:11.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,7.635871838805
deBridge Frontend,0xbd0ee52000fa57cd3b2f7fca615b1206e00c8337e38720fbb2497dea3d0509d5,2025-09-30 20:16:47.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,0.986374059811
deBridge Frontend,0x1a88a939235cacf6662e4dfbb40bcafcbf00ebe02f971d5c1aac8487d91496b6,2025-09-30 20:15:59.000 UTC,0x342de63e9ebf0c46b34cdd75ec8f923802092cb6,1inch Router,24.991078265426
deBridge Frontend,0x0d1960cdf6d639b94db0bfbbcf1a25f7ba4b4a29cd401c985adf8713beffab47,2025-09-30 20:14:59.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,22.183631040991145
deBridge Frontend,0x61dd084c2d99f245dde37beef58074ba7d5f3d08d233a56d21d86b07260b7d54,2025-09-30 20:14:47.000 UTC,0xe2924afe025c27b8336989f26e06b211a0fb895f,1inch Router,178.709998788363
deBridge Frontend,0x7a1ae93b81023e27ebc5894acb99dcf7dbe67dfe979b2c99421f3afd4eb1192a,2025-09-30 20:13:47.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,16.120900454879717
deBridge Frontend,0xf1d2f345fb20c5bbcdce9387ecce9c1ada34d9cb46c9eb1a7151d67c6f35dec5,2025-09-30 20:12:47.000 UTC,0xcdefb0b81e3d3128d1142e3a528572b1d490aa10,1inch Router,29.672283391527
deBridge Frontend,0x0609b6de244d03188e1e51d71e33db0179061e344cbe5d69b7280dc4af2fcea7,2025-09-30 20:12:35.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,16.70885070470643
deBridge Frontend,0xecb052b10535136ec7579b42d9cdb8e528fb8f86fdb48780d852013cad41f748,2025-09-30 20:12:11.000 UTC,0xb1a9a818127fdc8b7785fe35c4634841a4e19d72,1inch Router,90.15369867977701
deBridge Frontend,0xcdfafb808c3037feb5e7938b13896be3b84a5b1396d5686f0a846272347b8c0b,2025-09-30 20:11:59.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,47.00008181813155
deBridge Frontend,0x5366179ce0508bc5e7ef163e33584feac9fc9741f995f159b4e9aa17b70c1c8b,2025-09-30 20:11:23.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,79.32232910916696
deBridge Frontend,0xe237fd51e9af69daf008c7fd7ebaa845c3fc99730eac19bd991ece667d2fb588,2025-09-30 20:08:47.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,145.5246320990428
deBridge Frontend,0x0785a0b97e4f4e709346025a52b62cad23fe829ea90f977efcdb1c04c9c0044c,2025-09-30 20:08:35.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,449.42125603625595
deBridge Frontend,0xec3ce920596c772a302980942ee67fdf38253bd310e05db5f98a1d82f2d3cf93,2025-09-30 20:07:35.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,191.2497703298408
deBridge Frontend,0xa3092184a21db52ffbb8730f89717012836dc96770117565d4f8b6351cab0d4d,2025-09-30 20:05:59.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,294.339951340083
deBridge Frontend,0x1a6f142c544fe1e900f2bf533c9f7b503d361c0ca24f0b38d42af6fdb3a23aef,2025-09-30 20:04:59.000 UTC,0x8bf8c6a0c675005e97c05368575bdf4696c1b620,1inch Router,1289.8250511166832
deBridge Frontend,0xd939615e0d358e4005091cbcb70884ea0583d3f838c92aa16d85cee15a4af867,2025-09-30 20:04:23.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,13.171493659561161
deBridge Frontend,0xe4e34cd1127d3497b0b27835559e22d36aa63e999c6d9d49b1f388ab3b6b15b7,2025-09-30 20:01:23.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,21.27112305837826
deBridge Frontend,0xbff9fc87d00760de8bbcf57441bb0deec84beb269a50e72600e3e6b115ae1df4,2025-09-30 20:00:11.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,47.741132177661406
deBridge Frontend,0xde6c86e8f72d47e1835e43133ff502798893d15089866ecb005b99884e89fbf6,2025-09-30 19:59:59.000 UTC,0x44ddbb229e5fef120b4b8e8390a94dcf127895e2,1inch Router,69.94405641782001
deBridge Frontend,0x1cd4b6e67d160ed9e6bff215dfb6883c094fe4d39b1c7b286634ef4d83648339,2025-09-30 19:59:23.000 UTC,0xb6239feb00b5da790b8926028a20d7352635efd5,1inch Router,80.03952317230299
deBridge Frontend,0xa55b765679183cb72934b43437cd9f539140636eabadc6454f7b02c0dd59de48,2025-09-30 19:59:11.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,22.232021695241674
deBridge Frontend,0x04b9162c523333e946908d331b5ba3d3642d57bff42c3be2d381f0a74d31f417,2025-09-30 19:58:47.000 UTC,0x555ce236c0220695b68341bc48c68d52210cc35b,1inch Router,86.30746440256925
